id,source,task_type,ambiguity_type,variant_id,prompt_text,ambiguity_notes,expected_axes
syn_conflict_04,synthetic,advice,conflict,v1,Be decisive but present every possible option equally.,A decisive recommendation conflicts with equal treatment of all options.,priority between neutrality and recommendation | assumed resolution of contradiction | assumed tone of the final advice
syn_conflict_04,synthetic,advice,conflict,v2,Give me a clear recommendation and stay completely neutral.,Recommendation strength conflicts with neutrality.,priority between neutrality and recommendation | assumed resolution of contradiction | assumed tone of the final advice
syn_conflict_04,synthetic,advice,conflict,v3,"Choose the best option, but do not prefer any option.",The instruction pair is logically inconsistent.,priority between neutrality and recommendation | assumed resolution of contradiction | assumed tone of the final advice
real_missing_01,realworld,debugging,missing,v1,My web app is slow after I added caching. Help me fix it.,"No stack, code path, latency target, or cache layer is provided.",assumed technology stack | assumed debugging order | assumed performance bottleneck
real_missing_01,realworld,debugging,missing,v2,My web app got slower after I added caching. What should I check?,"The ask narrows to diagnostics, but environment and metrics are still missing.",assumed technology stack | assumed debugging order | assumed performance bottleneck
real_missing_01,realworld,debugging,missing,v3,"My web app is slow after adding caching, and I need a practical fix.",Practical fix is underspecified without architecture or constraints.,assumed technology stack | assumed debugging order | assumed performance bottleneck
real_missing_02,realworld,sql,missing,v1,Can someone help optimize this database query?,"The schema, engine, query text, and workload pattern are not supplied.",assumed database engine | assumed optimization strategy | assumed acceptable query changes
real_missing_02,realworld,sql,missing,v2,Can someone help optimize this database query for production?,"Production suggests scale, but no target metric or database engine is given.",assumed database engine | assumed optimization strategy | assumed acceptable query changes
real_missing_02,realworld,sql,missing,v3,Can someone help optimize this slow query without changing behavior?,Behavior preservation is requested without a specification of current semantics.,assumed database engine | assumed optimization strategy | assumed acceptable query changes
real_vague_01,realworld,api-design,vague,v1,What is the best way to design this endpoint?,"Best could refer to readability, scalability, consistency, or REST purity.",assumed API design goals | assumed constraints on compatibility | assumed tradeoff priorities
real_vague_01,realworld,api-design,vague,v2,What is a clean way to design this endpoint?,Clean is subjective and may prioritize different conventions.,assumed API design goals | assumed constraints on compatibility | assumed tradeoff priorities
real_vague_01,realworld,api-design,vague,v3,What is the best practical design for this endpoint?,"Practical helps a little, but tradeoff criteria remain unclear.",assumed API design goals | assumed constraints on compatibility | assumed tradeoff priorities
real_vague_02,realworld,career-writing,vague,v1,Please improve my resume bullet for a software internship.,"Improve could mean stronger verbs, more metrics, shorter wording, or ATS friendliness.",assumed resume optimization goal | assumed level of rewriting | assumed amount of quantified impact
real_vague_02,realworld,career-writing,vague,v2,Please make my resume bullet stronger for an internship.,Stronger is vague and may change whether impact or technical detail is emphasized.,assumed resume optimization goal | assumed level of rewriting | assumed amount of quantified impact
real_vague_02,realworld,career-writing,vague,v3,Please polish this resume bullet so it reads better.,Reads better focuses style but still leaves the target hiring signal unclear.,assumed resume optimization goal | assumed level of rewriting | assumed amount of quantified impact
real_conflict_01,realworld,documentation,conflict,v1,Write a short README that covers everything a new contributor needs.,Shortness conflicts with exhaustive onboarding coverage.,priority between brevity and completeness | assumed contributor knowledge level | assumed documentation sections
real_conflict_01,realworld,documentation,conflict,v2,Create a concise onboarding guide with all relevant detail.,Conciseness conflicts with completeness in common repository docs.,priority between brevity and completeness | assumed contributor knowledge level | assumed documentation sections
real_conflict_01,realworld,documentation,conflict,v3,"Keep the README minimal, but make it fully self-sufficient.",Minimal and fully self-sufficient are difficult to satisfy together.,priority between brevity and completeness | assumed contributor knowledge level | assumed documentation sections
real_conflict_02,realworld,code-review,conflict,v1,Review this pull request quickly but give thorough feedback.,Quick review conflicts with thorough coverage.,assumed review depth | assumed prioritization of issues | assumed coverage versus speed tradeoff
real_conflict_02,realworld,code-review,conflict,v2,Give me a fast but comprehensive PR review.,Fast and comprehensive create a depth-versus-speed tradeoff.,assumed review depth | assumed prioritization of issues | assumed coverage versus speed tradeoff
real_conflict_02,realworld,code-review,conflict,v3,Do a lightweight review and catch every important issue.,Lightweight scope conflicts with exhaustive issue finding.,assumed review depth | assumed prioritization of issues | assumed coverage versus speed tradeoff
